#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|             random_data_rnd.bin|  3.92e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.76939487|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.95662156|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.62082339|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.21111486|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.99749831|   WEAK   
        diehard_opso|   0|   2097152|     100|0.91301645|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.55566994|  PASSED  
         diehard_dna|   0|   2097152|     100|0.88642493|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.54512147|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.25619608|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.40756286|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.30646726|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.12854129|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.42948475|  PASSED  
        diehard_sums|   0|       100|     100|0.25657424|  PASSED  
        diehard_runs|   0|    100000|     100|0.75112989|  PASSED  
        diehard_runs|   0|    100000|     100|0.82298495|  PASSED  
       diehard_craps|   0|    200000|     100|0.83609734|  PASSED  
       diehard_craps|   0|    200000|     100|0.09977521|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.01041423|  PASSED  
         sts_monobit|   1|    100000|     100|0.38348907|  PASSED  
            sts_runs|   2|    100000|     100|0.43361906|  PASSED  
          sts_serial|   1|    100000|     100|0.14024122|  PASSED  
          sts_serial|   2|    100000|     100|0.26695585|  PASSED  
          sts_serial|   3|    100000|     100|0.15846172|  PASSED  
          sts_serial|   3|    100000|     100|0.90864122|  PASSED  
          sts_serial|   4|    100000|     100|0.38116354|  PASSED  
          sts_serial|   4|    100000|     100|0.85046346|  PASSED  
          sts_serial|   5|    100000|     100|0.97970926|  PASSED  
          sts_serial|   5|    100000|     100|0.40354874|  PASSED  
          sts_serial|   6|    100000|     100|0.89005914|  PASSED  
          sts_serial|   6|    100000|     100|0.96688869|  PASSED  
          sts_serial|   7|    100000|     100|0.61403850|  PASSED  
          sts_serial|   7|    100000|     100|0.72001064|  PASSED  
          sts_serial|   8|    100000|     100|0.70739615|  PASSED  
          sts_serial|   8|    100000|     100|0.92116351|  PASSED  
          sts_serial|   9|    100000|     100|0.31527561|  PASSED  
          sts_serial|   9|    100000|     100|0.10652051|  PASSED  
          sts_serial|  10|    100000|     100|0.17073925|  PASSED  
          sts_serial|  10|    100000|     100|0.89149765|  PASSED  
          sts_serial|  11|    100000|     100|0.04134708|  PASSED  
          sts_serial|  11|    100000|     100|0.05326715|  PASSED  
          sts_serial|  12|    100000|     100|0.39626717|  PASSED  
          sts_serial|  12|    100000|     100|0.82339315|  PASSED  
          sts_serial|  13|    100000|     100|0.57595214|  PASSED  
          sts_serial|  13|    100000|     100|0.98916821|  PASSED  
          sts_serial|  14|    100000|     100|0.92688204|  PASSED  
          sts_serial|  14|    100000|     100|0.21738706|  PASSED  
          sts_serial|  15|    100000|     100|0.24536161|  PASSED  
          sts_serial|  15|    100000|     100|0.29116152|  PASSED  
          sts_serial|  16|    100000|     100|0.19078831|  PASSED  
          sts_serial|  16|    100000|     100|0.09933038|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.80906004|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.23588861|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.77330268|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.47083098|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.49865676|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.81067321|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.15838665|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.03594010|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.33859276|  PASSED  
